T,D,Y_AR,Y_CO,Y_CO2,Y_H,Y_H2,Y_H2O,Y_H2O2,Y_HBR,Y_HCL,Y_HNO3,Y_HO2,Y_HO2NO2,Y_HONO,Y_HSO3,Y_N2,Y_N2O5,Y_NA,Y_NO,Y_NO2,Y_NO3,Y_O,Y_O1D,Y_O2,Y_O3,Y_OH,Y_SA,Y_SO2,Y_SO3,t,mass,volume
298,1.17493225,0,3.30826755e-06,0,0,0,0.0255905499,0,0,0,0,0,0,0,0,0.772633824,0,0,0,0,0,0,0,0.201770617,1.70078732e-06,0,0,0,0,0,11749.3225,10000
298,1.17493225,0,3.30826755e-06,0,0,0,0.0255905499,0,0,0,0,0,0,0,0,0.772633824,0,0,0,0,0,0,0,0.201770617,1.70078732e-06,0,0,0,0,51.8503701,11749.3225,10000
298,1.17493225,0,3.30826755e-06,0,0,0,0.0255905499,0,0,0,0,0,0,0,0,0.772633824,0,0,0,0,0,0,0,0.201770617,1.70078732e-06,0,0,0,0,103.70074,11749.3225,10000
298,1.17493225,0,3.30826755e-06,0,0,0,0.0255905499,0,0,0,0,0,0,0,0,0.772633824,0,0,0,0,0,0,0,0.201770617,1.70078732e-06,0,0,0,0,155.55111,11749.3225,10000
298,1.17493225,0,3.30826755e-06,0,0,0,0.0255905499,0,0,0,0,0,0,0,0,0.772633824,0,0,0,0,0,0,0,0.201770617,1.70078732e-06,0,0,0,0,207.40148,11749.3225,10000
298,1.17493225,0,3.30826755e-06,0,0,0,0.0255905499,0,0,0,0,0,0,0,0,0.772633824,0,0,0,0,0,0,0,0.201770617,1.70078732e-06,0,0,0,0,259.25185,11749.3225,10000
298,1.17493225,0,3.30826755e-06,0,0,0,0.0255905499,0,0,0,0,0,0,0,0,0.772633824,0,0,0,0,0,0,0,0.201770617,1.70078732e-06,0,0,0,0,311.10222,11749.3225,10000
298,1.17493225,0,3.30826755e-06,0,0,0,0.0255905499,0,0,0,0,0,0,0,0,0.772633824,0,0,0,0,0,0,0,0.201770617,1.70078732e-06,0,0,0,0,362.952591,11749.3225,10000
298,1.17493225,0,3.30826755e-06,0,0,0,0.0255905499,0,0,0,0,0,0,0,0,0.772633824,0,0,0,0,0,0,0,0.201770617,1.70078732e-06,0,0,0,0,414.802961,11749.3225,10000
298,1.17493225,0,3.30826755e-06,0,0,0,0.0255905499,0,0,0,0,0,0,0,0,0.772633824,0,0,0,0,0,0,0,0.201770617,1.70078732e-06,0,0,0,0,466.653331,11749.3225,10000
